prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt
"地球联合政府最高科学院的深夜，林晨博士站在全息投影前，面色凝重地展示地球核心的异常数据图表，红色警告标志闪烁","电影级科幻摄影，宏大史诗感，8K超清，高对比度暖橙冷蓝调色，电影级景深，胶片颗粒质感。统一主角：天才科学家林晨（45岁，睿智沉稳，黑发微白，穿深蓝色科学院长袍，戴全息数据眼镜）。统一场景：地球联合政府最高科学院（巨型玻璃穹顶建筑，内部充满全息投影设备、悬浮数据屏幕，窗外可见城市天际线）。",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光"
"全息投影展示地球内部结构图，地核区域标注着刺眼的红色警告：核心温度异常升高300%，压力临界，预计72小时内将发生不可逆反应","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"林晨在全息数据前快速操作，调出过去十年的监测数据对比图，蓝色正常曲线与红色异常曲线形成鲜明对比，他的表情越来越凝重","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"切换视角到地核内部，炽热的铁镍核心出现异常的剧烈对流，压力波在液态外核中传播，地震波频率加速到前所未有水平","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"科学院紧急会议，数十位科学家围坐巨型圆桌，空中悬浮着地核数据的全息图，争议声此起彼伏，林晨站起发言，手势坚决","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"林晨单独留在会议室，通过加密通讯联系航天局，他的面孔半隐在阴影中，语气低沉而坚定说着什么","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"航天局秘密地下基地，巨大的飞船骨架在建造中，成千上万的工程机器人忙碌施工，焊接火花如雨落下，林晨站在观景台上俯瞰","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"飞船核心舱室内，林晨亲自调试中央电脑系统，手指在全息键盘上飞舞，代码流快速滚动，LED指示灯闪烁","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"地球表面开始出现异常现象，远方的城市上空出现极光般的光幕，普通市民抬头仰望，表情困惑而恐惧","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"新闻电视台播放紧急报道，主播面色紧张地播报全球异常现象，屏幕下方的滚动新闻条越来越密集","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"全球各地同时发生中等强度地震，城市建筑摇晃，街道上人群慌乱奔跑，车辆相撞警报声四起","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"海洋出现异常巨浪，港口城市遭受海啸冲击，巨浪拍打沿海建筑，水花冲天，乌云密布电闪雷鸣","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
"林晨从地下基地的紧急通道直奔主控室，快步走过长长的金属走廊，灯光在头顶依次亮起","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
