row_index,status,prompt,width,height,num_frames,frame_rate,seed,mode,image_prompt,image_prompts,image,extra_body_image,video_id,output_path,error_message,duration_seconds
1,success,月球以四十多万公里每小时的速度正面撞击木星瞬间爆发出超出太阳十几倍的耀眼强光整个太阳系被照亮,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzdkYWM3MjFjNmYwYjc5ODExY2NiMDc1NzVmMzkzZjc0OTRkYTIxNGM2YmM4Zjk5ZA==,chapter2_output\0001_月球以四十多万公里每小时的速度正面撞击木_20260614_023007.mp4,,272.4
2,success,高能辐射线从木星爆发以光速穿过五亿公里太空直接轰击在火星上火星地表瞬间融化成暗红色熔岩洪流,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzZlNDNhOTBkNWFmODY2ZDJiMzliOTAwODhjZmQyZTViN2Y4NmQ3MjRhNWU3NWU3Yg==,chapter2_output\0002_高能辐射线从木星爆发以光速穿过五亿公里太_20260614_023637.mp4,,596.0
3,success,萧宇躲在火星背面通过飞船观测窗看着木星方向持续释放的高能射线心中既震撼又庆幸自己的选择,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2VhOWRiNTcxMmM0Mzc4YTYwMjY5ZTRmYTUxNWJkNjBhNDhkZmJkMTNjNWY5ODk2Ng==,chapter2_output\0003_萧宇躲在火星背面通过飞船观测窗看着木星方_20260614_023701.mp4,,588.5
4,success,超级飓风在火星表面肆虐风速之高将碎石和陨石直接刮到同步轨道大气层被加热后形成巨大风暴漩涡,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzEyY2FlN2QzYmVkMTRkNDNkOWEyOWQ4NDk1ZDExZjhlYzNkZTRiMTE2YjVkZTIwZA==,chapter2_output\0004_超级飓风在火星表面肆虐风速之高将碎石和陨_20260614_023020.mp4,,276.4
5,success,高能带电粒子流木星风以四百万公里每小时的速度席卷火星轨道大气层几乎被瞬间完全剥离露出下方炽热地表,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzEwODc3NjAyMzY0MTMwNmM3N2Y0Y2Y0YmNkYWI5M2E0NDBkODM5OTU2OGVkYjc3YQ==,chapter2_output\0005_高能带电粒子流木星风以四百万公里每小时的_20260614_023347.mp4,,490.2
6,success,整个火星变成了一颗巨大彗星拖着长长的彗尾朝向太阳方向飞去彗尾中夹带着无数陨石碎片,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2YxMDM4MTFkOTE5NDAyMmZhMDY5ZTdkYjcyOGQ0NDg1ZWExODZhZGU2NTRlZmU4Mg==,chapter2_output\0006_整个火星变成了一颗巨大彗星拖着长长的彗尾_20260614_023332.mp4,,472.2
7,success,萧宇在黑暗中驾驶飞船灵活穿梭于乱飞的陨石之间雷达屏幕上密密麻麻全是红色碰撞预警,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2ZlYjYxNGFhNmI1ZGQ1YmI3OTBhN2JmOTYwYjgzMDhiYTIxMzgxN2FhNjYwMWZjZg==,chapter2_output\0007_萧宇在黑暗中驾驶飞船灵活穿梭于乱飞的陨石_20260614_023024.mp4,,287.0
8,success,飞船推进器不断点火进行躲避机动萧宇紧咬牙关集中全部计算力规划最优逃生路线,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzk0NzljZTNiMTA5ZThhM2E0ZjdlODE3YzMxYmY5OGU0MzExOGJhZTFkNDRmODIwOA==,chapter2_output\0008_飞船推进器不断点火进行躲避机动萧宇紧咬牙_20260614_023359.mp4,,493.5
9,success,木星风肆虐三天后渐渐平息萧宇启动飞船自检系统全息屏幕显示船体破损严重一半设备损坏,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzI0NGNkZWU0YjAzNmQ2ZDQ2MzNlYTM5ZmM1Mzk4Zjg5ZjE1ZGM3YmZjMDFlOGFkNw==,chapter2_output\0009_木星风肆虐三天后渐渐平息萧宇启动飞船自检_20260614_023410.mp4,,487.2
10,success,萧宇走到船体破损处看着被撕裂的金属外壳和裸露的电线心中滴血飞船已经千疮百孔,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzBmYmM3NThkZmVmYjkyNmNhZjU1ZDc2OTYzYzExZjM4M2ZlNDgwNDZiZmFkMzZmMA==,chapter2_output\0010_萧宇走到船体破损处看着被撕裂的金属外壳和_20260614_023044.mp4,,301.3
