# 重生之超级战舰 - AI短剧分镜头提示词全集
# 每章60个分镜头，每个镜头5秒，共5分钟
# 格式：镜头编号 | 时长 | 画面描述 | 运镜 | 音效/对白

============================================================
【第1章 地球爆炸】
============================================================

镜头1 | 5秒 | 深邃的宇宙背景，银河横跨天际，无数星辰闪烁 | 缓慢推镜头 | 低沉的背景音乐，宇宙寂静声
镜头2 | 5秒 | 太阳占据画面，表面剧烈活动，日冕物质抛射如金色火焰 | 固定镜头 | 太阳活动的低频轰鸣
镜头3 | 5秒 | 太阳表面突然爆发巨大耀斑，白光吞噬大片区域 | 快速推镜头 | 强烈的能量爆发音效
镜头4 | 5秒 | 冲击波以太阳为中心向外扩散，空间产生可见扭曲 | 拉镜头 | 低频冲击波声
镜头5 | 5秒 | 水星轨道附近，行星表面被太阳风暴灼烧，岩石熔化 | 横移镜头 | 岩石熔化的嘶嘶声
镜头6 | 5秒 | 金星被浓厚的云层覆盖，阳光透过云层呈现诡异的黄色 | 缓慢下摇 | 风声穿过大气层
镜头7 | 5秒 | 地球轨道上，国际空间站静静漂浮，下方是蓝色星球 | 环绕镜头 | 无线电静电声
镜头8 | 5秒 | 地球表面，天文台内，科学家盯着观测屏幕脸色苍白 | 推镜头到面部 | 仪器滴滴声
镜头9 | 5秒 | 观测屏幕上，太阳数据曲线急剧上升，红色警报闪烁 | 特写镜头 | 急促的警报声
镜头10 | 5秒 | 天文台窗外，天空呈现异常的橙红色，云层翻涌 | 仰拍镜头 | 风声加剧
镜头11 | 5秒 | 城市街道上，人们抬头看天，表情困惑不安 | 横移跟拍 | 人群嘈杂声
镜头12 | 5秒 | 新闻直播间，主播神情紧张播报太阳异常消息 | 固定镜头 | 新闻背景音乐
镜头13 | 5秒 | 社交媒体界面滚动，各种关于太阳异常的帖子 | 屏幕录制视角 | 手机提示音
镜头14 | 5秒 | 海边，海浪异常高涨，潮汐偏离正常模式 | 广角镜头 | 海浪拍打声
镜头15 | 5秒 | 卫星云图显示地球磁场开始紊乱，极光出现在低纬度地区 | 俯拍镜头 | 电子干扰声
镜头16 | 5秒 | 实验室里，萧宇盯着多块屏幕上的数据，眉头紧锁 | 中景镜头 | 键盘敲击声
镜头17 | 5秒 | 萧宇的特写，眼神从震惊逐渐转为冷静坚定 | 缓慢推镜头 | 心跳声渐强
镜头18 | 5秒 | 闪回画面：未来的太阳爆炸，地球化为灰烬 | 快速闪回 | 爆炸声（回声效果）
镜头19 | 5秒 | 回到现实，萧宇猛地站起来，推开椅子 | 快速拉镜头 | 椅子摩擦声
镜头20 | 5秒 | 萧宇在实验室里快速走动，翻阅资料，神情急切 | 跟拍镜头 | 纸张翻动声
镜头21 | 5秒 | 电脑屏幕上显示"可控核聚变""星际战舰"等关键词 | 屏幕特写 | 打字声
镜头22 | 5秒 | 萧宇在白板上疯狂书写公式和架构图 | 俯拍镜头 | 马克笔书写声
镜头23 | 5秒 | 实验室门被推开，助手走进来，表情担忧 | 中景镜头 | 脚步声
镜头24 | 5秒 | 助手与萧宇对话，萧宇手势坚定地解释着什么 | 双人镜头 | 对话声（模糊处理）
镜头25 | 5秒 | 萧宇独自站在落地窗前，窗外是城市的夜景 | 背影镜头 | 城市夜间环境音
镜头26 | 5秒 | 窗户倒影中，萧宇的眼神充满决绝 | 倒影特写 | 音乐渐起
镜头27 | 5秒 | 画面切换到太空，太阳继续膨胀，体积明显增大 | 远景镜头 | 宇宙寂静
镜头28 | 5秒 | 小行星带开始紊乱，大量小行星轨道偏离 | 广角镜头 | 低沉的引力波动声
镜头29 | 5秒 | 木星巨大的身影出现，大红斑清晰可见 | 缓慢推镜头 | 木星大气流动的低鸣
镜头30 | 5秒 | 木星引力影响下，一些小行星被牵引向木星 | 跟随镜头 | 引力拉扯的音效
镜头31 | 5秒 | 月球轨道出现异常，缓慢向木星方向偏移 | 远景镜头 | 无声（太空）
镜头32 | 5秒 | 地球上的观测站，所有望远镜都对准太阳 | 横移镜头 | 望远镜转动声
镜头33 | 5秒 | 全球新闻画面拼接，各国都在报道同一件事 | 分屏镜头 | 多国语言新闻背景音
镜头34 | 5秒 | 萧宇的办公室，堆满了科幻小说和技术图纸 | 环拍镜头 | 纸张沙沙声
镜头35 | 5秒 | 一张旧照片：年轻的萧宇在天文台仰望星空 | 特写镜头 | 回忆感的音乐
镜头36 | 5秒 | 萧宇打开一个隐秘的保险柜，取出一个U盘 | 特写镜头 | 机械开锁声
镜头37 | 5秒 | U盘插入电脑，屏幕显示加密的未来技术资料 | 屏幕视角 | 数据传输音效
镜头38 | 5秒 | 资料内容：星际战舰设计图、核聚变方程式 | 快速翻页效果 | 科技感的电子音
镜头39 | 5秒 | 萧宇的脸上露出复杂的神情——喜悦、悲伤、坚定交织 | 面部特写 | 音乐高潮
镜头40 | 5秒 | 他开始在电脑上快速输入代码，手指飞舞 | 手部特写 | 急促的键盘声
镜头41 | 5秒 | 屏幕上的3D模型逐渐成型——一艘巨大的星际战舰 | 屏幕视角 | 建模音效
镜头42 | 5秒 | 战舰模型旋转展示，细节丰富，充满科幻感 | 环绕镜头 | 科幻背景音乐
镜头43 | 5秒 | 萧宇打电话，语气急促地安排资金和人员 | 侧面镜头 | 电话通话声
