prompt,image,num_frames,frame_rate
分镜001: 大远景，荒漠中一条废弃公路延伸向远方的原子朋克小镇，热浪扭曲空气，寂静无人,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/835416ff64ca4e04b01f167ac4e8c777.png,121,24
分镜002: 远景跟拍，一辆改装越野车在荒漠公路上行驶，扬起尘土，镜头跟随车辆平移,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/835416ff64ca4e04b01f167ac4e8c777.png,121,24
分镜003: 中景车内，机器人清道夫手握方向盘，LED面部显示专注表情，车内仪表盘闪烁,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/3964f511eee347afae9a4b26aeffcf94.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/2bf7613e54e947f28132460e160e9a57.png,121,24
分镜004: 主观视角，透过挡风玻璃看小镇越来越近，破败建筑轮廓清晰，风滚草吹过路面,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/835416ff64ca4e04b01f167ac4e8c777.png,121,24
分镜005: 特写机器人手部操作换挡，机械关节精确运动，金属手指敲击档杆,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/337e2c0237654a879c1ada40e6f5f67d.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/2bf7613e54e947f28132460e160e9a57.png,121,24
分镜006: 远景低角度，车辆驶过倒在路边的路牌，镜头仰拍,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/c6649cadabb54aed9d6d72c0855d06d4.png,121,24
分镜007: 中景侧面，车辆经过废弃加油站，破碎玻璃，锈蚀油泵，快速闪过,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/0571075c01114aa4bdff7d876e1b40d8.png,121,24
分镜008: 车载镜头，车辆减速驶入主街道，两旁荒废店面，风吹报纸飘过路面,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/c6649cadabb54aed9d6d72c0855d06d4.png,121,24
分镜009: 全景，车辆停在街道中央，引擎熄火，蒸汽从引擎盖冒出，镜头环绕,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/2bf7613e54e947f28132460e160e9a57.png,121,24
分镜010: 特写车门打开，机械靴子踩在沥青路面上，激起一小片尘土,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/337e2c0237654a879c1ada40e6f5f67d.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png,121,24
分镜011: 中低角度，机器人从车里站起，全景展示全身造型，LED面部扫描四周,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/3964f511eee347afae9a4b26aeffcf94.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png,121,24
分镜012: 360度环绕镜头，机器人站在车旁观察环境，手放在枪套上，缓慢转身,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/2bf7613e54e947f28132460e160e9a57.png,121,24
分镜013: 特写LED面部表情变化：从冷漠切换到警惕，蓝色光芒微微闪烁,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/3964f511eee347afae9a4b26aeffcf94.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/c6649cadabb54aed9d6d72c0855d06d4.png,121,24
分镜014: 中景，机器人走向车头，检查引擎盖下冒出的蒸汽,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/337e2c0237654a879c1ada40e6f5f67d.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png,121,24
分镜015: 远景高角度，展示小镇全貌：机器人、车辆、废弃街道,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/835416ff64ca4e04b01f167ac4e8c777.png,121,24
分镜016: 中景跟拍，机器人沿街道行走，左右观察，镜头缓慢平移,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/2bf7613e54e947f28132460e160e9a57.png,121,24
分镜017: 机器人停在废弃超市前，LED显示思考表情，看招牌,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/d8fef3d9410c4437be04bdd90f2fd5fb.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/0571075c01114aa4bdff7d876e1b40d8.png,121,24
分镜018: 特写手部推开门，门铰链发出刺耳声，裂缝透光,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/337e2c0237654a879c1ada40e6f5f67d.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/67ead2518a4f4756927897af40fd121a.png|https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/0571075c01114aa4bdff7d876e1b40d8.png,121,24
