scene,prompt_prefix,prompt_suffix,duration,camera,subtitle
001,电影级写实摄影，末日废土美学，8K超清，胶片颗粒质感，高对比度，暖橙+冷青主色调，漫天沙尘氛围，电影级景深，自然光效。统一主角：赛博牛仔机器人（做旧银灰色金属机身，磨损装甲，面部可变色LED屏，背军绿色帆布背包，腰间配复古左轮能量枪）。统一载具：重度改装老式越野车（军绿色做旧车漆，布满泥污弹痕，车顶行李架，前防撞杠）。,末日废土街道远景，热浪扭曲空气，两侧是残破废弃建筑剪影，荒凉公路延伸向远方，漫天黄沙，空无一人,5,slow_zoom_in,废弃小镇·新哈芬
002,,同一辆改装越野车停在街道正中央，引擎盖掀开冒出白色蒸汽，右车门半开，车身沾满泥污尘土，地面扬起微尘,4,slow_pan_right,清道夫抵达
003,,赛博牛仔机器人从越野车副驾站起身，手扶车门，面部LED发出淡蓝色扫描光，环视四周废墟，背包背在身后,5,slow_zoom_in,机器人清道夫登场
004,,机器人面部LED特写，冰蓝色冷光，冷漠机械神态，金属表面有磨损划痕，背景是虚化的废土街道,3,static,冷静的猎手
005,,机器人背身走进废弃超市，货架倒塌歪斜，商品散落满地，灰尘在天窗光束中飞舞，脚步扬起地面碎屑,5,slow_pan_left_follow,搜索物资
006,,机器人金属手部特写，灵活关节拿起货架上的金属罐头，转身放入身后军绿色背包，背景是模糊的超市货架,3,slow_zoom_in,补给
007,,超市深处阴影中，丧尸蹒跚走出，撞倒货架发出巨响，灰尘剧烈扬起，画面前景是机器人侧身警觉的背影,5,slow_zoom_in_behind,丧尸出现
008,,丧尸面部特写，腐烂皮肤，浑浊发白眼球，残破衣物，沾着灰尘，背景是昏暗的超市货架,3,static,感染体
009,,机器人迅速转身拔枪，面部LED从蓝色切换为战斗模式红色光芒，枪口对准前方丧尸，机械关节动作利落,4,medium_zoom_in,战斗模式
010,,枪口喷射明亮火焰，丧尸胸部中弹向后倒下，扬起大量尘土，超市货架轻微晃动，碎屑纷纷掉落,5,slow_zoom_out,清除威胁
011,,机器人走出超市，站在夕阳下的街道上，缓缓收起手枪，面部LED切回平静淡蓝色，身影被夕阳拉成长影,4,slow_pan_right,任务完成
012,,远景视角，改装越野车驶向荒漠地平线，橙红色夕阳铺满天空，辽阔废土荒漠，车辆扬起一路沙尘逐渐远去,5,slow_zoom_out,继续前行
