scene,prompt_prefix,prompt_suffix,duration,camera,subtitle
001,史诗科幻电影级画质，8K超清，宏大宇宙视野，电影级景深，高对比度暖橙冷蓝调色，胶片颗粒质感。统一主角：天才科学家林晨（40岁，睿智沉稳，穿航天服）。统一载具：超级飞船「诺亚号」（银白流线型舰身，直径200米球型，表面密布传感器阵列和推进器）。,地球核心发生超新星级爆炸，整个星球从内部撕裂，熔岩和地壳碎片向太空中抛射，炽热的橙红色光芒照亮整个太阳系，林晨通过空间站观测窗目睹这一切，表情震惊而悲伤，画面慢动作呈现地球解体过程,5,slow_zoom_out,第一章·地球爆炸
002,,直径超过木星的小行星以每秒五百公里速度直撞木星，撞击瞬间释放出比太阳亮十倍的强光，冲击波以肉眼可见的速度扩散，木星大气层被掀起数千公里，林晨在火星轨道上通过望远镜观测到这一宇宙级碰撞，震撼无言,5,slow_zoom_in,第二章·毁灭性碰撞
003,,林晨的飞船在火星表面着陆，橘红色荒漠一望无际，引擎盖冒出蒸汽，机器人从驾驶舱站起望向远处被木星爆炸照亮的天空，红色星球表面被强光照得如同白昼，机械手指敲击控制台检查各项系统,5,slow_pan_right,第三章·火星避难
004,,小行星碎片如暴雨般撞击火星表面，每一击都扬起数公里高的尘土，地面剧烈震动，飞船外壳被碎石击中发出刺耳金属声，林晨紧急启动防护罩，LED控制面板疯狂闪烁红光警报,4,medium_zoom_in,小行星暴
005,,飞船穿越小行星带，无数大小不一的岩石从舷窗旁呼啸而过，最大的一块直径数公里表面光滑漆黑，林晨操控飞船灵活躲避，激光炮击碎挡路的巨石，爆炸碎片向四周飞散,5,slow_zoom_in,穿越小行星带
006,,飞船靠近一颗富含水冰的小行星，机械臂伸出抓住星体表面，钻头深入冰层，白色水蒸气喷涌而出在太空中凝结成水晶雾，采集到的水冰通过管道送入飞船储存舱,5,slow_pan_left_follow,太空采冰
007,,飞船抵达木星近距离轨道，巨行星占据整个视野，大红斑风暴狂暴旋转，云层中闪电不断闪烁，林晨调整光学望远镜对准木星大气层深处，数据流在屏幕上滚动，突然在辐射背景中发现异常信号源,5,slow_zoom_in,第七章·木星探索
008,,无数个半透明辐射源从木星方向高速涌来，像蜂群般包围飞船，它们没有实体形态却在传感器上清晰显示，林晨启动激光炮射击，每一发光束击中目标都产生涟漪般的能量波动，辐射源被击中后分裂成多个更小的个体继续围攻,5,zoom_out,第九章·辐射源碰撞
009,,飞船材料在辐射源照射下发生肉眼可见的变化，金属表面泛起蓝色微光，分子结构在显微镜下快速重组，原本磨损的外壳变得光滑如新，强度测试数据显示硬度提升数十倍，林晨瞪大眼睛不可置信,4,slow_zoom_in,第十章·材料进化
010,,飞船降落在土卫六「泰坦」表面，浓密的橙黄色大气层笼罩天空，液态甲烷湖泊在昏暗光线下泛着金属光泽，远处冰山耸立，林晨踏上这颗陌生星球的表面，脚印印在潮湿的沙土上，这是人类第一次踏上外星土地,5,slow_pan_right,第十一章·登陆泰坦
011,,泰坦基地建设场面，数十台工程机器人同时在工地忙碌，巨型高炉喷出火焰，钢板被机械臂精准焊接，地基在荒原上快速延伸，高炉冒出浓烟在橙色天空中拖出长尾，整个场景如同科幻版的工业革命,5,pan_left,第十二章·工业建设
012,,十颗通信卫星同时从发射台点火升空，火箭尾焰在昏暗天空中划出十道明亮弧线，卫星群依次分离并展开太阳能板，在轨道上排列成星座网络，林晨在控制台前监控信号，当第一颗卫星回传数据时露出欣慰笑容,5,zoom_in,第十三章·卫星发射
013,,占地数平方公里的量子计算机中心，无数光纤如蛛网般连接，冷却液在透明管道中流动发出幽蓝荧光，服务器机柜整齐排列延伸向远方，数据在全息投影中以惊人速度滚动，林晨站在控制台前被数百万台服务器的算力震撼,5,slow_pan_right,第十四章·量子计算机
014,,勘探机器人小队在泰坦荒原上行进，头灯照亮前方被甲烷冰覆盖的地面，探测器插入岩层分析成分，数据实时传回基地，发现富含稀土元素的矿脉，全息地图上被标记为高价值矿区，远处地平线上土星的光环隐约可见,4,static,第十五章·稀土勘探
015,,林晨站在基地控制室透过全景窗望向土星方向，巨大的土星环横跨天际，背景是深邃的星空，手中的材料样本在灯光下闪烁奇异光泽，这是人类文明重启的希望，他的倒影映在玻璃上，表情坚定看向远方,5,slow_zoom_out,新纪元·希望
