prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt
"月球以四十多万公里每小时的速度正面撞击木星瞬间爆发出超出太阳十几倍的耀眼强光整个太阳系被照亮","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。巨大的木星表面出现比木星本身还要明亮的撞击火球白色等离子体向四面八方扩散照亮整个木星半球。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"高能辐射线从木星爆发以光速穿过五亿公里太空直接轰击在火星上火星地表瞬间融化成暗红色熔岩洪流","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:火星表面遭受辐射轰击。火星表面像被无形火焰舔舐橙红色高能射线如暴雨般倾泻而下地表岩石瞬间熔化成暗红色岩浆河流大气层被加热到极限产生剧烈对流。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇躲在火星背面通过飞船观测窗看着木星方向持续释放的高能射线心中既震撼又庆幸自己的选择","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船主控室。舱内红色警报灯闪烁旋转萧宇双手抱胸站在舷窗前目光穿过黑暗注视着木星方向持续不断的光芒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"超级飓风在火星表面肆虐风速之高将碎石和陨石直接刮到同步轨道大气层被加热后形成巨大风暴漩涡","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:火星大气层。巨大的橙红色风暴漩涡覆盖火星表面狂风卷起岩石碎片和尘埃形成沙暴碎石被高速气流卷向高空在稀薄大气中划出一道道红色轨迹。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"高能带电粒子流木星风以四百万公里每小时的速度席卷火星轨道大气层几乎被瞬间完全剥离露出下方炽热地表","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:火星轨道太空。从太空俯瞰火星一层薄薄的大气层正在被高能粒子流撕扯剥离火星赤红色地表直接暴露在冰冷宇宙真空中。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"整个火星变成了一颗巨大彗星拖着长长的彗尾朝向太阳方向飞去彗尾中夹带着无数陨石碎片","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空全景。火星拖着由气体尘埃和岩石碎片组成的巨大彗尾彗尾在太阳照射下发出淡淡蓝色荧光萧宇的飞船被包围在彗尾之中。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在黑暗中驾驶飞船灵活穿梭于乱飞的陨石之间雷达屏幕上密密麻麻全是红色碰撞预警","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船驾驶舱。驾驶舱内一片漆黑只有仪表盘发出幽蓝光芒萧宇全神贯注操作控制杆全息雷达屏幕上密密麻麻的红色光点。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"飞船推进器不断点火进行躲避机动萧宇紧咬牙关集中全部计算力规划最优逃生路线","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船驾驶舱特写。萧宇面部被仪表盘幽蓝光映照眉头紧锁嘴唇紧闭双手快速操作着控制杆。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"木星风肆虐三天后渐渐平息萧宇启动飞船自检系统全息屏幕显示船体破损严重一半设备损坏","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船主控室内。萧宇面容憔悴地站在控制台前面前全息屏幕显示飞船受损评估报告红色警告标注百分之七十系统离线率。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇走到船体破损处看着被撕裂的金属外壳和裸露的电线心中滴血飞船已经千疮百孔","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船破损舱段。萧宇站在一个巨大的船体破洞前破损边缘参差不齐金属外壳被撕裂露出内部错综复杂的管线。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
