prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt,image
"末日废土街道远景，热浪扭曲空气，残破废弃建筑剪影，荒凉公路延伸向远方，漫天黄沙，空无一人","电影级写实摄影，末日废土美学，8K超清，高对比度，暖橙+冷青主色调，漫天沙尘氛围，电影级景深。统一主角：赛博牛仔机器人（做旧银灰色金属机身，磨损装甲，面部可变色LED屏，背军绿色帆布背包，腰间配复古左轮能量枪）。统一载具：重度改装老式越野车（军绿色做旧车漆，布满泥污弹痕，车顶行李架，前防撞杠）。末日废土街道远景，热浪扭曲空气，残破废弃建筑剪影，荒凉公路延伸向远方",1152,768,121,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"同一辆改装越野车停在街道正中央，引擎盖掀开冒出白色蒸汽，右车门半开，车身沾满泥污尘土，地面扬起微尘","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"赛博牛仔机器人从越野车副驾侧身站起，手扶车门，面部LED发出淡蓝色扫描光，缓缓环视四周废墟","",1152,768,121,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"机器人面部LED大特写，冰蓝色冷光，冷漠机械神态，金属磨损划痕质感","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"机器人背身缓步走进废弃超市，货架倒塌歪斜，商品散落满地，灰尘在天窗光束中飞舞","",1152,768,121,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"机器人金属手部特写，灵活关节拿起货架上的金属罐头，转身放入身后军绿色背包","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"超市深处阴影中，丧尸蹒跚走出，撞倒货架发出巨响，画面前景是机器人侧身警觉的背影","",1152,768,121,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"丧尸面部极致特写，腐烂皮肤纹理，浑浊发白眼球，残破衣物沾着灰尘","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"机器人迅速转身拔枪，面部LED从蓝色切换为战斗模式红色光芒，枪口对准前方丧尸","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"枪口喷射明亮火焰，丧尸胸部中弹向后倒下，扬起大量尘土，货架碎屑掉落","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"机器人走出超市，站在夕阳街道上缓缓收起手枪，面部LED切回平静淡蓝色，身影被夕阳拉长","",1152,768,81,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊",
"远景视角，改装越野车驶向荒漠地平线，橙红色夕阳铺满天空，车辆扬起沙尘逐渐远去","",1152,768,121,24,42,"画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊"
