prompt,image,num_frames,frame_rate,seed
地球核心的超级爆炸瞬间发生整个星球从内部被撕裂炽热的岩浆和地核物质从裂缝中喷涌而出强烈的橙红色光芒照亮了太空,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,81,24,42
强大的爆炸能量以光速向外扩散月球被冲击波击中速度被瞬间加速到每秒一百三十七公里飞向太阳系外,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,81,24,42
萧宇站在飞船主控室内三十米长的巨大空间充满了全息数据和仪器显示屏他面色凝重地注视着地球毁灭的全过程,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,81,24,42
萧宇调动庞大的计算力无数数据流在他眼前的全息屏幕上飞速滚动显示着月球的轨道参数和速度变化,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,81,24,42
萧宇将飞船速度加到最大引擎喷射出淡蓝色的等离子火焰飞船缓缓远离地球碎片云朝着太阳系外侧加速驶去,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,81,24,42
回忆画面:灾难发生前十年萧宇站在全球科学家的聚光灯下面对媒体和同行们展示地球异常数据的全息投影,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/7ff68940cb6a45d2b42b72208d877396.png,81,24,42
一位中年科学家在电视镜头前激动地对着麦克风大喊满脸通红地嘲讽萧宇的预言身后是闪烁的闪光灯,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/7ff68940cb6a45d2b42b72208d877396.png,81,24,42
萧宇淡出科学界独自站在海边的悬崖上海风吹拂着实验服望着远处落日和波涛神情落寞而坚定,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,81,24,42
萧宇在秘密的地下实验室中疯狂工作了八年时间实验室的灯昼夜不灭巨大的空间里摆满了精密仪器和金属构件,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,81,24,42
人类第一艘真正意义上的星际飞船在地球同步轨道上缓缓组装完毕巨大的船体在蓝色地球的映衬下无比壮观,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,81,24,42
萧宇在地面控制中心启动灵魂传输装置他闭目躺在设备中央身体逐渐变得透明灵魂意识通过光束传输向太空中的飞船,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,81,24,42
灵魂光束穿越大气层飞向同步轨道上的飞船与飞船主控电脑融合的整艘飞船的指示灯同时亮了起来,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,81,24,42
